Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Target,Is_Mature_Student,First_Generation_Student,Financial_Risk_Flag,Pass_Rate_1st_Sem,Pass_Rate_2nd_Sem,Evaluation_Load_Ratio_1st_Sem,Evaluation_Load_Ratio_2nd_Sem
Single,General Contingent,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Basic/Secondary,-0.19817587333920963,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.33299443717415245,Yes,No,Yes,Female,Yes,-0.562167955812708,No,0,5,8,2,10.5,0,0,5,11,3,13.333333333333334,0,Enrolled,0,1,0,0.4,0.6,1.6,2.2
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,0.18098999194093274,Basic/Secondary,Basic/Secondary,Professional/Managerial,Clerical/Service,-0.4128431688933185,No,No,Yes,Female,No,-0.2985576917271264,No,0,6,11,5,11.2,0,0,6,15,1,10.0,0,Enrolled,0,1,0,0.8333333333333334,0.16666666666666666,1.8333333333333333,2.5
Not Single,Special/Non-Traditional,-0.5540677512436588,"Business, Management & Hospitality",Evening,Higher Education,0.5601558572210751,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,1.7556106117102526,No,No,Yes,Female,No,0.3604679684868276,No,0,5,5,5,12.0,0,0,5,6,5,14.833333333333334,0,Graduate,1,1,0,1.0,1.0,1.0,1.2
Single,Special/Non-Traditional,0.2071731591606723,Health Sciences,Daytime,Basic/Secondary,-0.9565076038994943,Basic/Secondary,Basic/Secondary,Clerical/Service,Professional/Managerial,-1.1586807749607886,No,No,Yes,Female,No,0.4922731005296184,No,0,7,9,7,12.228571428571428,0,1,8,10,8,13.2125,0,Graduate,1,1,0,1.0,1.0,1.2857142857142858,1.25
Single,General Contingent,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Basic/Secondary,-1.1840071230675797,Basic/Secondary,Basic/Secondary,Clerical/Service,Professional/Managerial,-0.9307859508846172,Yes,No,Yes,Female,No,-0.4303628237699172,No,0,5,6,4,11.5,0,0,5,5,4,10.75,0,Graduate,0,1,0,0.8,0.8,1.2,1.0
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,1.3943207608373882,Basic/Secondary,Basic/Secondary,Clerical/Service,Student,1.203138310919534,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,6,8,6,15.375,0,0,6,7,6,16.428571428571427,0,Graduate,0,1,0,1.0,1.0,1.3333333333333333,1.1666666666666667
Single,Other Special,-0.5540677512436588,Health Sciences,Daytime,Vocational/Technical,0.5601558572210751,Basic/Secondary,Basic/Secondary,Clerical/Service,Clerical/Service,1.1271733695608104,Yes,No,No,Female,No,-0.034947427641544786,No,7,12,19,9,13.666666666666666,0,4,9,15,6,13.5,0,Enrolled,0,1,1,0.75,0.6666666666666666,1.5833333333333333,1.6666666666666667
Single,Special/Non-Traditional,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,0.03690696313447821,Basic/Secondary,Higher Education,Clerical/Service,Professional/Managerial,-1.863082958468955,No,No,Yes,Female,No,0.09685770440124603,No,0,8,11,7,12.614285714285714,0,0,8,11,7,12.614285714285714,0,Graduate,1,0,0,0.875,0.875,1.375,1.375
Single,Other Special,-0.5540677512436588,Social & Humanities,Daytime,Vocational/Technical,-0.19817587333920963,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.04683026961946761,Yes,No,Yes,Female,Yes,-0.562167955812708,No,3,6,7,5,12.2,0,2,6,6,6,11.5,0,Graduate,0,1,0,0.8333333333333334,1.0,1.1666666666666667,1.0
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,-0.577341738619352,Basic/Secondary,Basic/Secondary,Professional/Managerial,Clerical/Service,-0.7650442606474013,No,No,Yes,Female,No,-0.562167955812708,No,0,6,13,4,11.75,0,0,6,10,4,11.0,0,Graduate,0,1,0,0.6666666666666666,0.6666666666666666,2.1666666666666665,1.6666666666666667
Single,General Contingent,1.7296549799693344,Social & Humanities,Daytime,Basic/Secondary,-0.577341738619352,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.8341032982462411,Yes,Yes,Yes,Female,Yes,-0.562167955812708,No,0,6,9,5,11.4,0,0,6,9,3,10.0,0,Enrolled,0,1,1,0.8333333333333334,0.5,1.5,1.5
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,0.18098999194093274,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,-0.4128431688933185,No,Yes,Yes,Female,No,-0.6939730878554988,No,0,6,10,5,10.6,0,0,6,14,2,10.0,0,Enrolled,0,1,1,0.8333333333333334,0.3333333333333333,1.6666666666666667,2.3333333333333335
Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Evening,Basic/Secondary,-0.8806744308434659,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,-1.0136567960032252,No,No,Yes,Female,No,-0.16675255968433558,No,14,16,16,13,10.923076923076923,0,13,13,13,11,11.454545454545457,0,Graduate,0,1,0,0.8125,0.8461538461538461,1.0,1.0
Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,0.6359890302771035,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,0.001511056699720468,No,No,Yes,Female,No,-0.4303628237699172,No,0,6,6,5,12.4,0,0,6,9,5,12.4,0,Graduate,0,1,0,0.8333333333333334,0.8333333333333334,1.0,1.5
Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,-0.19817587333920963,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.48190220649215837,No,No,Yes,Female,No,0.22866283644403682,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,Dropout,1,1,0,0.0,0.0,1.0,1.0
Single,Other Special,-0.5540677512436588,Social & Humanities,Daytime,Vocational/Technical,3.593482779462214,Basic/Secondary,Higher Education,Clerical/Service,Professional/Managerial,3.6616400494382315,No,No,Yes,Female,No,-0.2985576917271264,No,0,6,6,6,15.833333333333334,0,0,6,8,6,15.5,0,Graduate,0,0,0,1.0,1.0,1.0,1.3333333333333333
Single,General Contingent,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,-1.1840071230675797,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.6614557042491415,Yes,No,Yes,Female,No,-0.562167955812708,No,0,7,12,5,11.8,0,0,7,9,6,11.708333333333334,0,Enrolled,0,1,0,0.7142857142857143,0.8571428571428571,1.7142857142857142,1.2857142857142858
Single,General Contingent,1.7296549799693344,Social & Humanities,Daytime,Basic/Secondary,-0.425675392507295,Basic/Secondary,Basic/Secondary,Clerical/Service,Professional/Managerial,-0.7719501644072858,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,6,7,6,12.571428571428571,0,0,6,6,6,13.666666666666666,0,Graduate,0,1,0,1.0,1.0,1.1666666666666667,1.0
Single,General Contingent,0.9684140695650034,"Business, Management & Hospitality",Daytime,Basic/Secondary,-0.5015085655633235,Basic/Secondary,Basic/Secondary,Student,Student,0.6575719138886988,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,5,7,3,12.0,0,0,5,7,4,13.25,1,Graduate,0,1,0,0.6,0.8,1.4,1.4
Single,General Contingent,0.9684140695650034,Health Sciences,Daytime,Basic/Secondary,0.7876553763891605,Higher Education,Higher Education,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.13962913189740012,Yes,No,Yes,Male,No,-0.562167955812708,No,0,7,8,7,13.3625,0,0,8,9,8,14.444444444444445,0,Graduate,0,0,0,1.0,1.0,1.1428571428571428,1.125
Single,General Contingent,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,0.8634885494451889,Higher Education,Higher Education,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.7335368552474223,Yes,No,Yes,Female,Yes,-0.562167955812708,Yes,0,5,6,5,15.4,0,0,5,5,5,16.0,0,Graduate,0,0,0,1.0,1.0,1.2,1.0
Single,General Contingent,0.2071731591606723,Social & Humanities,Daytime,Basic/Secondary,-0.5015085655633235,Basic/Secondary,Basic/Secondary,Clerical/Service,Clerical/Service,0.17415865069682004,Yes,Yes,No,Female,No,-0.6939730878554988,No,0,6,9,5,12.2,0,0,6,9,4,11.75,0,Dropout,0,1,1,0.8333333333333334,0.6666666666666666,1.5,1.5
Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Daytime,Vocational/Technical,0.5601558572210751,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,0.1465350356572837,Yes,No,Yes,Female,Yes,-0.4303628237699172,No,6,11,11,11,12.818181818181818,0,6,11,11,11,13.545454545454543,0,Graduate,0,1,0,1.0,1.0,1.0,1.0
Single,General Contingent,2.4908958903736655,Health Sciences,Daytime,Basic/Secondary,1.166821241669303,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,0.22249997701600713,Yes,No,Yes,Female,No,-0.562167955812708,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,Dropout,0,1,0,0.0,0.0,0.0,0.0
Single,Special/Non-Traditional,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,-2.473171065020064,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,0.5056420311712521,Yes,No,Yes,Female,No,0.6240782325724092,No,12,17,21,17,13.394736842105264,0,11,17,19,17,13.554736842105264,0,Graduate,1,1,0,1.0,1.0,1.2352941176470589,1.1176470588235294
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,1.3943207608373882,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.7887840853264949,Yes,No,Yes,Female,Yes,-0.4303628237699172,No,0,6,8,6,14.25,0,0,6,8,6,11.0,0,Graduate,0,1,0,1.0,1.0,1.3333333333333333,1.3333333333333333
Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Evening,Basic/Secondary,-0.9565076038994943,Basic/Secondary,Basic/Secondary,Unknown/Not Reported,Blue-Collar & Skilled Trades,-0.48190220649215837,Yes,No,Yes,Female,No,0.8876884966579909,No,9,11,19,9,13.444444444444445,1,5,7,7,7,14.714285714285714,0,Dropout,1,1,0,0.8181818181818182,1.0,1.7272727272727273,1.0
Single,General Contingent,1.7296549799693344,Health Sciences,Daytime,Basic/Secondary,0.18098999194093274,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.24019557489621893,Yes,No,Yes,Female,Yes,-0.562167955812708,No,0,7,8,7,12.285714285714286,0,0,8,10,8,11.7375,0,Graduate,0,1,0,1.0,1.0,1.1428571428571428,1.25
Single,General Contingent,0.2071731591606723,Social & Humanities,Daytime,Basic/Secondary,-0.8806744308434659,Basic/Secondary,Basic/Secondary,Professional/Managerial,Professional/Managerial,-0.7512324531276341,Yes,No,Yes,Female,No,-0.16675255968433558,No,0,6,7,6,11.666666666666666,0,0,6,7,5,13.2,0,Graduate,0,1,0,1.0,0.8333333333333334,1.1666666666666667,1.1666666666666667
Single,General Contingent,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Basic/Secondary,-1.2598402961236081,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,-1.117245352401485,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,6,8,6,12.166666666666666,0,0,6,6,6,13.5,0,Graduate,0,1,0,1.0,1.0,1.3333333333333333,1.0
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,1.0909880686132745,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,1.0926438507613905,Yes,No,Yes,Female,No,-0.034947427641544786,No,0,6,11,2,10.0,0,0,6,15,2,11.0,0,Dropout,0,1,0,0.3333333333333333,0.3333333333333333,1.8333333333333333,2.5
Single,General Contingent,1.7296549799693344,Social & Humanities,Daytime,Basic/Secondary,2.0768193183416446,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,1.9696936282666557,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,6,6,6,14.0,0,0,6,6,6,15.0,0,Graduate,0,1,0,1.0,1.0,1.0,1.0
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,0.02932364582887579,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.019206654579931284,Yes,No,Yes,Female,No,-0.6939730878554988,No,0,6,9,5,11.833333333333334,0,0,6,6,4,12.0,0,Enrolled,0,1,0,0.8333333333333334,0.6666666666666666,1.5,1.0
Not Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,-2.473171065020064,Basic/Secondary,Basic/Secondary,Student,Student,2.5221659290573744,No,Yes,No,Male,No,3.5237911375138067,No,0,6,7,1,15.0,0,0,5,12,0,0.0,0,Dropout,1,1,1,0.16666666666666666,0.0,1.1666666666666667,2.4
Single,General Contingent,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,1.3943207608373882,Higher Education,Higher Education,Professional/Managerial,Clerical/Service,2.411671468899231,Yes,No,Yes,Female,Yes,-0.562167955812708,Yes,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Graduate,0,0,0,0.0,0.0,0.0,0.0
Single,General Contingent,0.2071731591606723,"Business, Management & Hospitality",Daytime,Basic/Secondary,-0.6531749116753804,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.2540073824159871,Yes,No,Yes,Female,No,-0.16675255968433558,Yes,0,6,7,6,10.833333333333334,0,0,6,6,6,10.666666666666666,0,Graduate,0,1,0,1.0,1.0,1.1666666666666667,1.0
Single,Other Special,-0.5540677512436588,Social & Humanities,Daytime,Vocational/Technical,0.5601558572210751,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,0.7266309514875386,No,Yes,Yes,Female,Yes,-0.034947427641544786,Yes,3,6,7,6,13.142857142857142,0,2,6,6,6,14.0,0,Graduate,0,1,1,1.0,1.0,1.1666666666666667,1.0
Single,General Contingent,1.7296549799693344,Health Sciences,Daytime,Basic/Secondary,2.8351510489019294,Basic/Secondary,Basic/Secondary,Clerical/Service,Clerical/Service,2.7362489456137773,No,Yes,No,Female,Yes,-0.4303628237699172,No,2,5,8,5,14.4,1,0,5,6,5,14.0,0,Dropout,0,1,1,1.0,1.0,1.6,1.2
Not Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,0.03690696313447821,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-1.6213763268730155,No,No,No,Female,No,2.732960345257062,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Dropout,1,1,1,0.0,0.0,0.0,0.0
Not Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,0.03690696313447821,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-1.1724925824805565,No,No,Yes,Male,No,3.3919860054710163,No,6,12,17,7,12.0,0,3,12,19,9,11.22222222222222,0,Graduate,1,1,0,0.5833333333333334,0.75,1.4166666666666667,1.5833333333333333
Not Single,Special/Non-Traditional,-0.5540677512436588,"Business, Management & Hospitality",Evening,Basic/Secondary,-2.473171065020064,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.08438190181832748,No,No,Yes,Male,No,2.9965706093426436,No,6,10,13,9,12.2,0,4,10,12,10,12.8,0,Graduate,1,1,0,0.9,1.0,1.3,1.2
Single,Special/Non-Traditional,-0.5540677512436588,Health Sciences,Daytime,Vocational/Technical,-0.9565076038994943,Basic/Secondary,Basic/Secondary,Professional/Managerial,Blue-Collar & Skilled Trades,0.7404427590073058,Yes,No,No,Male,No,2.3375449491286897,No,3,3,3,3,12.333333333333334,0,2,2,2,2,11.0,0,Dropout,1,1,1,1.0,1.0,1.0,1.0
Single,General Contingent,0.9684140695650034,Health Sciences,Daytime,Basic/Secondary,0.02932364582887579,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.12581732437763296,Yes,No,Yes,Male,No,-0.6939730878554988,No,0,7,8,7,11.8375,0,0,8,9,8,12.48125,0,Graduate,0,1,0,1.0,1.0,1.1428571428571428,1.125
Not Single,Special/Non-Traditional,-0.5540677512436588,"Business, Management & Hospitality",Evening,Basic/Secondary,-0.9565076038994943,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Professional/Managerial,2.971049673449833,No,No,Yes,Male,No,2.6011552132142715,No,0,5,5,5,11.8,0,0,5,6,5,14.0,0,Graduate,1,1,0,1.0,1.0,1.0,1.2
Not Single,Special/Non-Traditional,0.2071731591606723,"Business, Management & Hospitality",Daytime,Basic/Secondary,0.03690696313447821,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.7305147418479814,No,Yes,No,Male,No,6.159893778369623,No,0,5,5,0,0.0,0,0,5,9,0,0.0,0,Dropout,1,1,1,0.0,0.0,1.0,1.8
Not Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,0.03690696313447821,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Clerical/Service,-1.8009298246299987,No,No,Yes,Male,No,3.2601808734282254,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Dropout,1,1,0,0.0,0.0,0.0,0.0
Not Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,0.03690696313447821,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.6230423950892789,No,No,Yes,Male,No,2.3375449491286897,No,18,19,19,19,12.68421052631579,0,12,13,13,13,12.384615384615383,0,Graduate,1,1,0,1.0,1.0,1.0,1.0
Single,General Contingent,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Basic/Secondary,0.5601558572210751,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Professional/Managerial,0.20868816949623997,No,No,Yes,Male,No,-0.2985576917271264,No,0,6,8,6,12.571428571428571,0,0,6,10,4,13.0,0,Enrolled,0,1,0,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667
Single,Special/Non-Traditional,-0.5540677512436588,STEM,Daytime,Basic/Secondary,-2.473171065020064,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-1.863082958468955,No,Yes,No,Male,No,1.546714156871945,Yes,0,7,18,3,11.25,0,0,7,7,0,0.0,0,Dropout,1,1,1,0.42857142857142855,0.0,2.5714285714285716,1.0
Not Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,0.03690696313447821,Higher Education,Basic/Secondary,Professional/Managerial,Blue-Collar & Skilled Trades,2.073282184664915,Yes,No,Yes,Male,No,2.732960345257062,No,1,5,13,4,14.0,3,1,5,9,4,15.5,2,Graduate,1,0,0,0.8,0.8,2.6,1.8
Single,General Contingent,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Basic/Secondary,0.7876553763891605,Higher Education,Basic/Secondary,Clerical/Service,Clerical/Service,1.7348929004305997,Yes,Yes,Yes,Male,No,-0.6939730878554988,No,0,5,15,4,13.333333333333334,0,0,5,6,2,13.5,0,Dropout,0,0,1,0.8,0.4,3.0,1.2
Not Single,General Contingent,-0.5540677512436588,Social & Humanities,Evening,Basic/Secondary,2.4559851836217867,Basic/Secondary,Basic/Secondary,Student,Student,2.480730506498071,Yes,No,Yes,Male,No,2.8647654772998528,No,0,6,7,6,13.666666666666666,0,0,6,6,6,13.666666666666666,0,Graduate,1,1,0,1.0,1.0,1.1666666666666667,1.0
Single,General Contingent,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Basic/Secondary,1.6218202800054737,Higher Education,Basic/Secondary,Professional/Managerial,Professional/Managerial,0.7059132402078859,No,No,Yes,Male,No,-0.4303628237699172,No,0,6,12,3,10.0,0,0,6,9,5,10.8,0,Enrolled,0,0,0,0.5,0.8333333333333334,2.0,1.5
Single,Other Special,-0.5540677512436588,Social & Humanities,Daytime,Vocational/Technical,0.5601558572210751,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Professional/Managerial,0.8992785454846383,Yes,No,Yes,Male,No,-0.16675255968433558,No,0,6,12,5,12.6,0,0,6,11,6,11.714285714285714,0,Graduate,0,1,0,0.8333333333333334,1.0,2.0,1.8333333333333333
Single,Special/Non-Traditional,-0.5540677512436588,STEM,Daytime,Basic/Secondary,0.5601558572210751,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,1.348162289877097,No,No,Yes,Male,No,2.073934685043108,No,0,5,10,3,17.333333333333332,0,0,5,11,1,17.0,0,Dropout,1,1,0,0.6,0.2,2.0,2.2
Single,Other Special,-0.5540677512436588,Health Sciences,Daytime,Vocational/Technical,-0.19817587333920963,Higher Education,Higher Education,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.20868816949623997,No,No,No,Male,No,-0.4303628237699172,No,2,6,10,5,13.2,0,1,6,21,3,12.0,0,Enrolled,0,0,1,0.8333333333333334,0.5,1.6666666666666667,3.5
Not Single,Special/Non-Traditional,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Basic/Secondary,0.03690696313447821,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Professional/Managerial,0.0705700942985603,No,No,Yes,Male,No,3.3919860054710163,No,0,5,9,3,14.0,0,0,5,8,3,13.666666666666666,0,Dropout,1,1,0,0.6,0.6,1.8,1.6
Single,Other Special,-0.5540677512436588,Health Sciences,Daytime,Higher Education,4.351814510022499,Higher Education,Higher Education,Professional/Managerial,Professional/Managerial,4.3522304254266295,Yes,No,Yes,Male,No,2.6011552132142715,No,4,4,4,4,13.875,0,1,1,1,1,12.5,0,Dropout,1,0,0,1.0,1.0,1.0,1.0
Not Single,Special/Non-Traditional,-0.5540677512436588,"Business, Management & Hospitality",Evening,Basic/Secondary,-0.9565076038994943,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.4296770898125266,Yes,No,Yes,Male,No,1.1512987607435725,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,Dropout,1,1,0,0.0,0.0,1.0,1.0
Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Daytime,Vocational/Technical,-2.473171065020064,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-0.18494834481714728,No,No,Yes,Male,No,3.1283757413854345,No,3,9,9,9,13.11111111111111,0,3,7,7,7,14.857142857142858,0,Graduate,1,1,0,1.0,1.0,1.0,1.0
Not Single,Special/Non-Traditional,-0.5540677512436588,"Business, Management & Hospitality",Evening,Basic/Secondary,-0.9565076038994943,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.7680663740468422,No,No,Yes,Male,Yes,1.8103244209575264,No,0,5,8,5,13.0,0,0,5,11,4,13.333333333333334,2,Dropout,1,1,0,1.0,0.8,1.6,2.2
Not Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Evening,Basic/Secondary,0.03690696313447821,Basic/Secondary,Basic/Secondary,Clerical/Service,Blue-Collar & Skilled Trades,1.1962324071596504,No,No,Yes,Male,No,2.3375449491286897,No,6,10,10,10,12.5,0,3,7,7,7,12.142857142857142,0,Graduate,1,1,0,1.0,1.0,1.0,1.0
Not Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Daytime,Basic/Secondary,1.3184875877813598,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,0.8992785454846383,No,No,Yes,Male,No,4.8418424579417145,No,17,18,18,18,14.11111111111111,0,11,13,13,13,14.23076923076923,0,Graduate,1,1,0,1.0,1.0,1.0,1.0
Not Single,Special/Non-Traditional,-0.5540677512436588,"Business, Management & Hospitality",Daytime,Basic/Secondary,-0.9565076038994943,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,1.4724685575550096,No,No,Yes,Male,No,3.1283757413854345,No,6,11,11,11,14.727272727272728,0,6,9,9,9,15.77777777777778,0,Graduate,1,1,0,1.0,1.0,1.0,1.0
Single,Special/Non-Traditional,-0.5540677512436588,Social & Humanities,Evening,Basic/Secondary,0.03690696313447821,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,-2.1393191088643144,No,Yes,No,Male,No,3.5237911375138067,No,0,6,6,0,0.0,0,0,5,6,0,0.0,0,Dropout,1,1,1,0.0,0.0,1.0,1.2
Not Single,Special/Non-Traditional,-0.5540677512436588,"Business, Management & Hospitality",Evening,Basic/Secondary,0.03690696313447821,Basic/Secondary,Basic/Secondary,Unknown/Not Reported,Unknown/Not Reported,-0.36450184257413043,Yes,No,Yes,Male,No,2.8647654772998528,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,Dropout,1,1,0,0.0,0.0,1.0,1.0
Single,Special/Non-Traditional,-0.5540677512436588,STEM,Daytime,Basic/Secondary,-2.473171065020064,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,2.280459297461435,No,Yes,No,Male,No,2.8647654772998528,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,Dropout,1,1,1,0.0,0.0,1.0,1.0
Not Single,Special/Non-Traditional,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,0.03690696313447821,Basic/Secondary,Basic/Secondary,Unknown/Not Reported,Unknown/Not Reported,-1.1517748712009048,No,No,Yes,Male,No,1.2831038927863632,No,0,5,7,4,13.5,0,0,5,6,5,11.6,0,Graduate,1,1,0,0.8,1.0,1.4,1.2
Single,General Contingent,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,0.7876553763891605,Higher Education,Higher Education,Professional/Managerial,Professional/Managerial,0.13962913189740012,No,No,Yes,Male,No,-0.6939730878554988,No,0,8,8,7,13.105714285714283,0,0,8,8,7,13.105714285714283,0,Graduate,0,0,0,0.875,0.875,1.0,1.0
Not Single,Special/Non-Traditional,-0.5540677512436588,Health Sciences,Daytime,Basic/Secondary,-0.9565076038994943,Basic/Secondary,Basic/Secondary,Blue-Collar & Skilled Trades,Blue-Collar & Skilled Trades,1.5898689214730366,No,No,Yes,Male,No,2.6011552132142715,No,0,5,8,5,13.5,2,0,5,5,5,14.4,0,Graduate,1,1,0,1.0,1.0,1.6,1.0
